idx,company,city,email,segment,readiness_score,confidence_score,offer_angle,query,brave_hits,from_cache,email_valid,generic_email,phone_present,website_present,online_booking_present,after_hours_claim,faq_coverage,multilingual_support,messaging_channel,handoff_signal,subject_v2,email_v2
11,Living Bratislava Centrum &Mlynské Nivy& Bus station,Ružinov,,invalid_contact,10,83,Manualny kontakt,Living Bratislava Centrum &Mlynské Nivy& Bus station Ružinov hotel booking check-in phone,0,0,0,0,1,0,1,1,1,0,1,1,Living Bratislava Centrum &Mlynské Nivy& Bus station: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Living Bratislava Centrum &Mlynské Nivy& Bus station v Ružinov – máte hodnotenie 4.1 (34 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Living Bratislava Centrum &Mlynské Nivy& Bus station.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
12,Reverie Hotel,Bratislava,info@senger.sk,automation_candidate,79,91,AI recepcia pre 24/7 odpovede a handoff,Reverie Hotel Bratislava hotel booking check-in phone site:myhotel.sk,0,0,1,1,1,1,1,1,1,0,1,1,Reverie Hotel: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Reverie Hotel v Bratislava – máte hodnotenie 4.1 (41 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Reverie Hotel.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
13,Apollis Business & Budget by Ambiente,Bratislava,sales@ambiente-apartments.com,automation_candidate,85,91,AI recepcia pre 24/7 odpovede a handoff,Apollis Business & Budget by Ambiente Bratislava hotel booking check-in phone site:www.ambiente-apartments.com,5,1,1,1,1,1,1,1,1,0,1,1,Apollis Business & Budget by Ambiente: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Apollis Business & Budget by Ambiente v Bratislava – máte hodnotenie 4.3 (47 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Apollis Business & Budget by Ambiente.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
14,Aapartamentoos,Bratislava,typed.js@2.1.0,invalid_contact,15,99,Manualny kontakt,Aapartamentoos Bratislava hotel booking check-in phone site:www.aapartamentoos.sk,1,1,0,0,1,1,1,1,1,1,1,1,Aapartamentoos: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Aapartamentoos v Bratislava – máte hodnotenie 3.6 (61 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Aapartamentoos.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
15,WE STAY | APARTMENTS,Bratislava,,invalid_contact,15,91,Manualny kontakt,WE STAY | APARTMENTS Bratislava hotel booking check-in phone site:www.westay.sk,0,0,0,0,1,1,1,1,1,0,1,1,WE STAY | APARTMENTS: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si WE STAY | APARTMENTS v Bratislava – máte hodnotenie 4.0 (62 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre WE STAY | APARTMENTS.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
16,Izy Stay,Bratislava,izybratislava@gmail.com,frontdesk_overload,71,75,Odlahcenie recepcie od opakovanych otazok,Izy Stay Bratislava hotel booking check-in phone site:www.izy-stay.com,0,0,1,0,0,1,1,1,1,0,1,0,Izy Stay: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Izy Stay v Bratislava – máte hodnotenie 3.9 (75 recenzií), pekný signál, že máte dobrý servis.

Recepcia je casto zatazena opakovanimi otazkami a to berie cas timu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Odlahcenie recepcie od opakovanych otazok.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Izy Stay.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
17,Petra Inn Apartments in historical palace Bratislava,Bratislava,,invalid_contact,10,83,Manualny kontakt,Petra Inn Apartments in historical palace Bratislava Bratislava hotel booking check-in phone,0,0,0,0,1,0,1,1,1,0,1,1,Petra Inn Apartments in historical palace Bratislava: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Petra Inn Apartments in historical palace Bratislava v Bratislava – máte hodnotenie 3.2 (79 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Petra Inn Apartments in historical palace Bratislava.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
18,Vila Ria,Bratislava,cestovanie@riasro.sk,automation_candidate,91,91,AI recepcia pre 24/7 odpovede a handoff,Vila Ria Bratislava hotel booking check-in phone site:www.riasro.sk,1,0,1,0,1,1,1,1,1,0,1,1,Vila Ria: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Vila Ria v Bratislava – máte hodnotenie 4.3 (83 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Vila Ria.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
19,Villa Bea,Bratislava,e-mail: info@villabea.sk,invalid_contact,15,91,Manualny kontakt,Villa Bea Bratislava hotel booking check-in phone site:www.villabea.sk,0,0,0,0,1,1,1,1,1,0,1,1,Villa Bea: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Villa Bea v Bratislava – máte hodnotenie 4.4 (83 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Villa Bea.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
20,Smart & Green Living by Ambiente,Bratislava,sales@ambiente-apartments.com,automation_candidate,85,91,AI recepcia pre 24/7 odpovede a handoff,Smart & Green Living by Ambiente Bratislava hotel booking check-in phone site:www.ambiente-apartments.com,0,0,1,1,1,1,1,1,1,0,1,1,Smart & Green Living by Ambiente: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Smart & Green Living by Ambiente v Bratislava – máte hodnotenie 4.4 (88 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Smart & Green Living by Ambiente.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
21,DIMAEL Hostel and Apartments,Bratislava,dimael@dimael.sk,automation_candidate,91,91,AI recepcia pre 24/7 odpovede a handoff,DIMAEL Hostel and Apartments Bratislava hotel booking check-in phone site:www.dimael.sk,0,0,1,0,1,1,1,1,1,0,1,1,DIMAEL Hostel and Apartments: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si DIMAEL Hostel and Apartments v Bratislava – máte hodnotenie 4.9 (95 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre DIMAEL Hostel and Apartments.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
22,Hostel Narva,Rača,,invalid_contact,10,83,Manualny kontakt,Hostel Narva Rača hotel booking check-in phone,0,0,0,0,1,0,1,1,1,0,1,1,Hostel Narva: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Hostel Narva v Rača – máte hodnotenie 4.2 (104 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Hostel Narva.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
23,Tempus Club Garni Hotel,Bratislava,,invalid_contact,15,91,Manualny kontakt,Tempus Club Garni Hotel Bratislava hotel booking check-in phone site:club.tempus.sk,2,0,0,0,1,1,1,1,1,0,1,1,Tempus Club Garni Hotel: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Tempus Club Garni Hotel v Bratislava – máte hodnotenie 4.2 (110 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Tempus Club Garni Hotel.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
24,Apartments City Centre s.r.o.,Bratislava,info@apartmentscitycentre.sk,automation_candidate,85,91,AI recepcia pre 24/7 odpovede a handoff,Apartments City Centre s.r.o. Bratislava hotel booking check-in phone site:apartmentscitycentre.sk,5,1,1,1,1,1,1,1,1,0,1,1,Apartments City Centre s.r.o.: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Apartments City Centre s.r.o. v Bratislava – máte hodnotenie 4.3 (123 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Apartments City Centre s.r.o..
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
25,Penzión DONET,Bratislava,martinatalapkova@gmail.com,automation_candidate,91,91,AI recepcia pre 24/7 odpovede a handoff,Penzión DONET Bratislava hotel booking check-in phone site:www.penziondonet.sk,0,0,1,0,1,1,1,1,1,0,1,1,Penzión DONET: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Penzión DONET v Bratislava – máte hodnotenie 4.8 (128 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Penzión DONET.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
26,Raj Zdravia,Nové Mesto,raj@rajzdravia.sk,automation_candidate,85,91,AI recepcia pre 24/7 odpovede a handoff,Raj Zdravia Nové Mesto hotel booking check-in phone site:www.rajzdravia.sk,0,0,1,0,1,1,1,1,1,0,1,1,Raj Zdravia: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Raj Zdravia v Nové Mesto – máte hodnotenie 4.2 (136 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Raj Zdravia.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
27,Ubytovanie v súkromí Privat Rooms Vilo,Bratislava,support@smartweb.sk,automation_candidate,79,91,AI recepcia pre 24/7 odpovede a handoff,Ubytovanie v súkromí Privat Rooms Vilo Bratislava hotel booking check-in phone site:www.penzionvilo.sk,1,1,1,1,1,1,1,1,1,0,1,1,Ubytovanie v súkromí Privat Rooms Vilo: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Ubytovanie v súkromí Privat Rooms Vilo v Bratislava – máte hodnotenie 3.9 (138 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Ubytovanie v súkromí Privat Rooms Vilo.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
28,More Than Accommodation,Petržalka,recepcia@morethan.sk,automation_candidate,85,91,AI recepcia pre 24/7 odpovede a handoff,More Than Accommodation Petržalka hotel booking check-in phone site:www.morethan.sk,0,0,1,1,1,1,1,1,1,0,1,1,More Than Accommodation: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si More Than Accommodation v Petržalka – máte hodnotenie 4.7 (146 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre More Than Accommodation.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
29,Petit Dependance,Bratislava,info@senger.sk,automation_candidate,79,91,AI recepcia pre 24/7 odpovede a handoff,Petit Dependance Bratislava hotel booking check-in phone site:myhotel.sk,0,0,1,1,1,1,1,1,1,0,1,1,Petit Dependance: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Petit Dependance v Bratislava – máte hodnotenie 3.8 (152 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Petit Dependance.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
30,Hostel ZERO,Bratislava,cookie@2.4.0,invalid_contact,15,91,Manualny kontakt,Hostel ZERO Bratislava hotel booking check-in phone site:www.megaubytovanie.sk,0,0,0,0,1,1,1,1,1,0,1,1,Hostel ZERO: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Hostel ZERO v Bratislava – máte hodnotenie 4.4 (173 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Hostel ZERO.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
31,Schöndorf Hostel,Bratislava,info@schoendorfhostel.comphone,invalid_contact,15,91,Manualny kontakt,Schöndorf Hostel Bratislava hotel booking check-in phone site:www.schoendorfhostel.com,0,0,0,1,1,1,1,1,1,0,1,1,Schöndorf Hostel: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Schöndorf Hostel v Bratislava – máte hodnotenie 4.4 (192 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Schöndorf Hostel.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
